Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;21.02.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Turkiye;TUR;Export volume index (2015 = 100);TX.QTY.MRCH.XD.WD;;;;;;;;;;;;;;;;;;;;;2,369676276;2,890200615;2,62368213;2,112036115;1,609830778;5,803079302;5,604833135;6,727780869;7,968863147;10,32638797;10,55260462;11,1620432;11,98192464;12,70711864;15,51938957;16,36098081;18,46646674;21,93149459;23,45237162;24,74226223;27,14012684;31,42142084;36,83564746;42,84237453;49,10064414;53,87805276;60,60687111;67,43561566;71,84488184;66,28297295;71,48188102;75,9762747;88,27219156;87,78986279;97,39381412;100;103,7834568;112,4053283;117,806019;125,6531064;119,5520917;144,7253832;
Turkiye;TUR;Transport services (% of commercial service imports);TM.VAL.TRAN.ZS.WT;;;;;;;;;;;;;;;53,27974277;57,74193548;51,97247706;38,45906902;64,95867769;66,14334471;61,65236052;67,77777778;32,64210526;29,65517241;39,17878529;40,35947712;42,3136646;39,74276527;33,68606702;30,25362319;32,21188261;29,44387581;29,7528227;33,24979114;27,88180222;30,33949291;28,8531654;23,1292517;25,98792245;25,71902;33,40766002;37,68862063;36,38672229;40,89976553;47,02495202;47,84306434;42,84676834;46,69836593;47,40567417;40,64730187;43,64834927;44,08563691;45,91359737;25,85975337;23,65997282;21,72874094;28,79128056;30,1544016;34,53289978;34,87525041;34,84822052;38,2359118;45,35799583
Turkiye;TUR;Merchandise imports from low- and middle-income economies within region (% of total merchandise imports);TM.VAL.MRCH.WR.ZS;0,320718409;0,353773585;0,403681576;0,507908867;0,664451827;0,660180681;0,883611763;0,781928758;0,830737279;0,530093725;0,507551374;0,548802947;0,280464089;0,366482153;0,471300949;0,567138473;0,994374115;0,757135341;0,486265235;1,684540482;1,830322791;0,706378681;0,704510229;1,087377711;1,141471853;0,882157552;0,379703329;0,070392953;0,112692389;0,025793291;0,144005143;0,66489592;5,19172328;7,705671947;8,709469478;10,5374509;7,707221004;8,309134551;8,15432871;9,969836862;11,3374054;12,17759739;11,80919675;12,26834958;14,30050614;15,85683067;18,01025186;19,60383878;22,08959651;19,39289724;17,74995163;15,15278382;16,3726226;15,07377341;15,01714844;14,61439335;12,11640614;12,9658638;14,28761056;15,825352;12,39339697;;
Turkiye;TUR;Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports);TM.VAL.MRCH.R5.ZS;1,453923455;1,356132075;0,984983045;0,740095777;0,221483942;0,225851286;0,317547977;0,390964379;0,661993769;0,514230571;0,431024781;0,209944751;0,283109976;0,193262073;0,202023946;0,317023441;0,436854027;0,478190742;0,443225219;0,427945133;0,265797196;0,307340225;0,237601756;0,186998489;0,305679434;0,17694594;0,389406758;0,416380186;0,259682461;0,360930356;0,808524959;0,845708921;0,594651346;0,521205927;0,70712086;1,133505753;0,977867331;0,788960793;0,793553014;0,735009629;1,04121162;1,171706362;1,410816852;1,413415937;1,441480687;1,484209449;1,561336284;1,853534903;1,785835725;2,23633606;2,789001066;3,492717543;3,072326692;3,137075039;3,456847502;3,21033826;3,384162224;3,105714968;3,721473343;3,614984578;2,64274959;;
Turkiye;TUR;Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports);TM.VAL.MRCH.R1.ZS;;;;;;;0,358967279;0,173761946;0,16874351;0,404510423;0,202570393;0,068139963;0,382330762;0,447127314;0,484010189;0,781794158;0,292405641;0,252033432;0,359971046;0,202326458;0,254841865;0,262330837;0,378276541;0,621078801;0,818268797;1,418671832;1,720590222;1,820247404;1,58830939;1,378654552;2,557505069;1,771636161;1,450452498;0,865269971;3,069514817;2,860869122;2,562623176;2,861896049;3,237565672;3,632726086;3,932476823;3,825888548;4,309459278;5,573436127;6,614049846;8,01579496;9,248441216;10,3591493;10,26600429;11,50159857;11,84600139;11,6202191;11,46862217;12,35521303;13,08827369;14,89155302;15,75968535;13,92074142;12,42904924;12,04314839;13,24848771;;
Turkiye;TUR;Merchandise imports from economies in the Arab World (% of total merchandise imports);TM.VAL.MRCH.AL.ZS;2,99337182;2,987421384;3,649281447;3,294151792;5,943152455;9,398888117;6,212895209;6,429192007;7,307892004;6,577921134;6,232415764;8,870165746;7,774940798;9,897404085;18,33969678;17,19440587;19,0591946;18,60165435;14,02452411;17,92533463;28,12598631;34,08431087;34,15067883;26,28025392;20,85957582;21,02800713;16,40387303;13,57241098;14,10750827;15,67137615;14,20201416;13,28394455;11,25019033;6,179526486;10,02923545;8,363510139;9,148422855;7,491013961;5,952845012;6,058954395;7,4545297;8,595595832;7,117000485;6,155423778;5,870011392;6,291309118;5,999187683;4,690425429;5,851119245;5,41722485;5,521635696;3,623282292;4,459916027;4,885011151;4,520241418;4,184463382;5,333607377;6,255953524;6,068951465;6,838286583;9,895935563;;
Turkiye;TUR;ICT goods imports (% total goods imports);TM.VAL.ICTG.ZS.UN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,18108716;6,842075433;6,391211432;6,097623476;6,398030299;6,119947282;5,539812495;5,030735006;3,910621012;5,02477514;4,470659239;3,825902694;4,181303601;4,627938938;5,185975524;5,76494797;6,222560588;5,675721311;4,094245318;4,056914993;4,565127126;4,095226194;
Turkiye;TUR;Import unit value index (2015 = 100);TM.UVI.MRCH.XD.WD;;;;;;;;;;;;;;;;;;;;;72,85293974;101,9941156;147,6927778;184,1192477;267,5689787;92,7219233;78,15133535;83,44973097;82,78743152;68,87914302;72,85293974;70,86604138;68,87914302;64,90534631;68,87914302;80,80053316;76,164437;69,54144248;66,89224467;63,58074741;66,22994522;66,04752484;65,21413809;72,62610416;84,23154322;90,11650037;97,89249393;107,3521465;128,874954;103,6862421;112,3549646;129,086395;125,7364061;123,7464946;120,576889;100;91,53992568;98,29437896;104,8812643;100,6177621;94,34622946;116,2845799;
Turkiye;TUR;Tariff rate, most favored nation, simple mean, primary products (%);TM.TAX.TCOM.SM.FN.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,7;;12,19;26,02;23,77;25,97;27,86;29,08;28,81;29,14;28,54;28,09;27,71;27,8;29,66;27,72;28,58;28,45;27,42;;29,37;;31,92;29,54;29,64;28,76;31,1;28,79;;
Turkiye;TUR;Binding coverage, primary products (%);TM.TAX.TCOM.BC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66,84;66,52;66,52;66,52;66,52;66,52;66,52;65;65;64,92;65;65;64,19;64,19;64,19;64,19;64,19;;65,02;;65,09;65,09;65,17;65,17;65,12;65,12;;
Turkiye;TUR;Tariff rate, most favored nation, simple mean, all products (%);TM.TAX.MRCH.SM.FN.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,34;;9,44;10,5;9,85;10,15;11,34;10,39;10,14;10,18;9,92;9,66;9,57;9,61;10;9,69;9,5;9,9;9,61;;10,79;;11,43;10,82;10,87;10,64;11,24;10,69;;
Turkiye;TUR;Binding coverage, all products (%);TM.TAX.MRCH.BC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,76;51,22;51,22;51,22;51,22;51,22;51,22;50,31;50,31;50,29;50,31;50,31;51,05;51,05;51,05;51,05;51,05;;51,99;;52,03;52,03;51,77;51,77;51,76;51,76;;
